classifier,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
logistic_regression,0.3807707812625978,0.027136511513767118,0.2672556146112145,0.021454836118864853,0.3718933717743932,0.02653956850177468
svm,0.3896476658872854,0.034759445151683145,0.2689743883382668,0.03047620226336954,0.3761447879126161,0.03631978646299538
naive_bayes,0.396000967507861,0.023629829383949183,0.1374712057069192,0.02370716454445834,0.2582117410831405,0.03273774388513485
random_forest,0.4188099653309683,0.022813128480789806,0.21966934754208403,0.01802247199250718,0.32384784980234027,0.022162527381554626
