model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
XLM-RoBERTa (claim+context),0.35408368942997664,0.03849241370190064,0.2794473204871782,0.012849304205667777,0.3389386426341557,0.028201034491790282
XLM-RoBERTa (claim+context+scope),0.34643231476255737,0.018452304553355645,0.25995473546452186,0.012434555312099006,0.32637069038937877,0.00899488884788595
Romanian BERT (claim+context),0.373175844553737,0.03448639287904923,0.35059813980228177,0.031374361918987397,0.379177882199025,0.036505359891749516
Romanian BERT (claim+context+scope),0.3528098040796581,0.008165134086046463,0.3237274217274155,0.016681422723439695,0.35693087151840913,0.007697915037693095
Romanian BERT uncased v1 (claim+context),0.29581552850116904,0.04761281145489645,0.2862612396096614,0.04594773920101007,0.295118437722953,0.051032619912217275
Romanian BERT uncased v1 (claim+context+scope),0.28951060227364345,0.06298906458056439,0.2830038225704788,0.06345507960967162,0.28494194784544263,0.06984980088226354
